"","lng","lat"
"1",-0.198465,51.505538
"2",-0.178838,51.491836
"3",-0.20559,51.51491
"4",-0.208327,51.514952
"5",-0.206022,51.496572
"6",-0.19361,51.500788
"7",-0.173519,51.495171
"8",-0.163542,51.492497
"9",-0.21198,51.513659
"10",-0.199786,51.5159
"11",-0.216407,51.518402
"12",-0.184495,51.501726
"13",-0.172522,51.491289
"14",-0.195797,51.492818
"15",-0.166886,51.488143
"16",-0.166882,51.488233
"17",-0.214099,51.51477
"18",-0.183889,51.484361
"19",-0.207725,51.519259
"20",-0.172964,51.491026
"21",-0.163102,51.499864
"22",-0.192941,51.488548
"23",-0.193675,51.488199
"24",-0.215564,51.51785
"25",-0.185515,51.483307
"26",-0.163793,51.496997
"27",-0.158276,51.494483
"28",-0.194671,51.506739
"29",-0.167365,51.483385
"30",-0.167321,51.48806
"31",-0.172881,51.482302
"32",-0.197319,51.509028
"33",-0.160434,51.501711
"34",-0.215936,51.504636
"35",-0.215377,51.5263
"36",-0.185591,51.485017
"37",-0.164763,51.483614
"38",-0.159271,51.501962
"39",-0.18286,51.484885
"40",-0.166709,51.492547
"41",-0.165997,51.492356
"42",-0.214056,51.519535
"43",-0.205446,51.514908
"44",-0.176955,51.48848
"45",-0.15865,51.495928
"46",-0.227035,51.519372
"47",-0.192799,51.499426
"48",-0.173334,51.481769
"49",-0.196819,51.510729
"50",-0.193059,51.50015
"51",-0.157984,51.494568
"52",-0.170251,51.486847
"53",-0.22116,51.514787
"54",-0.178139,51.487689
"55",-0.21809,51.51591
"56",-0.210203,51.511203
"57",-0.214021,51.524121
"58",-0.209563,51.516499
"59",-0.178728,51.480144
"60",-0.15588,51.489589
"61",-0.203266,51.50804
"62",-0.182567,51.481373
"63",-0.215743,51.505892
"64",-0.157499,51.492312
"65",-0.205256,51.516074
"66",-0.180503,51.486197
"67",-0.193459,51.500965
"68",-0.160914,51.496952
"69",-0.210912,51.518858
"70",-0.179323,51.486898
"71",-0.190458,51.489409
"72",-0.224558,51.520054
"73",-0.201846,51.522136
"74",-0.210248,51.517409
"75",-0.181786,51.479293
"76",-0.178436,51.48023
"77",-0.156758,51.49284
"78",-0.208464,51.515134
"79",-0.193462,51.500875
"80",-0.156165,51.489684
"81",-0.19361,51.500788
"82",-0.169718,51.492953
"83",-0.202383,51.512163
"84",-0.17626,51.484243
"85",-0.167361,51.483474
"86",-0.168203,51.487624
"87",-0.198869,51.506264
"88",-0.194628,51.49325
"89",-0.167994,51.492837
"90",-0.16662,51.487599
"91",-0.167653,51.483389
"92",-0.206229,51.498643
"93",-0.186404,51.482691
"94",-0.173331,51.481859
